Graf je orientovany

Vzdalenosti:
   | 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 
------------------------------------------------
 0 | 0  8  9  3  8 14  7  7 11 10  3  5  8  9  6 
 1 | 9  0  6  5  1 12  7  9  4  8  4 11 12  3  6 
 2 | 8  1  0  2  2 11  6  6  5  7  1 10  9  4  4 
 3 |13  5  8  0  6 13 12  4  8 13  9 14  7  8  5 
 4 | 8  5  9  4  0 11  6  8  9  7  3 10 11  2  6 
 5 |12  7 13 10  6  0  5 11 11 11  8 11  3  8 11 
 6 | 9  6  9  5  1 12  0  6 10  8  4 11  9  3  7 
 7 |16  7 12  8  8  9 11  0  4 15  6 12  3  5  9 
 8 |14  8 14 12  8 17 10 16  0 13 10  8 11  9 13 
 9 | 1  7 10  2  5  4  4  6 10  0  4  4  7  6  7 
10 |10  7  6  2  6 13  5  6  8  9  0  9  9  8  3 
11 | 6  7 11  7  3  9  2  8 11  5  5  0  3  4  8 
12 |13  4 10  9  5 10 11 13  8 12  8 14  0  7 10 
13 |11  3  7  3  4 12  6  7  7 10  1 10 10  0  4 
14 |11  4  3  5  5 14  9  9  5 10  4 13 12  7  0 
